46168:
 num     #instances         #bytes  class name (module)
  86:          7271         290840  java.util.Collections$SingletonMap (java.base@21.0.8)
  87:         11660         279840  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
  88:          5714         274272  java.lang.invoke.DirectMethodHandle$Accessor (java.base@21.0.8)
  89:          8388         267232  [Lorg.jetbrains.plugins.textmate.language.syntax.TextMateCapture;
  90:          5332         255936  it.unimi.dsi.fastutil.objects.ObjectOpenHashSet
  91:          6345         253800  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.8)
  92:           720         253696  [[Lcom.intellij.util.lang.Loader;
  93:          7697         246304  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.8)
  94:          5095         244560  com.intellij.openapi.extensions.impl.SimpleConstructorInjectionAdapter
  95:          3320         239040  com.goide.psi.GoFile
  96:         14762         236192  com.intellij.openapi.extensions.PluginId
  97:          9249         221976  java.util.ImmutableCollections$List12 (java.base@21.0.8)
  98:          1800         220632  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.8)
  99:          4539         217872  com.intellij.openapi.actionSystem.Presentation
 100:          8964         216992  [Lcom.intellij.internal.statistic.eventLog.validator.rules.FUSRule;
 101:          8947         214728  org.languagetool.rules.IncorrectExample
 102:          8928         214272  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.8)
 103:          1438         206952  [Ljava.lang.ClassValue$Entry; (java.base@21.0.8)
 104:          3975         205464  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.8)
 105:          8546         205104  java.util.Collections$SingletonList (java.base@21.0.8)
 106:          8523         204552  java.util.regex.Pattern$Slice (java.base@21.0.8)
 107:          6337         202784  [[Lorg.jetbrains.plugins.textmate.language.syntax.TextMateCapture;
 108:          2791         200952  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 109:          4124         197952  java.util.logging.LogManager$LoggerWeakRef (java.logging@21.0.8)
 110:          8165         195960  ai.grazie.rules.tree.HintableFeature
 111:          3970         190560  java.lang.invoke.LambdaForm (java.base@21.0.8)
 112:          2575         185400  io.grpc.netty.shaded.io.netty.buffer.PoolSubpage
 113:          7271         174504  java.util.Arrays$ArrayList (java.base@21.0.8)
